Tytuł filmu,Gatunek
Noc Strachu,1
Miłość i Marzenia,2
Ostatnia Akcja,3
Szalone Śmiechy,4
Tajemnica w Ciemności,5
Romans na Plaży,2
Przygody w Kosmosie,7
Krzyk Nocy,1
Ścigaj i Zabijaj,3
Miłość w Wenecji,2
Komedianckie Spiski,4
Załoga Akcji,3
Nocny Koszmar,1
Romans w Paryżu,2
Eksploracja Obcych Światów,7
Komedie na Lutym Polu,4
Misja na Granicy,3
Strach przed Ciemnością,1
Miłość w Nowym Jorku,2
Największy Sekret,7
Komedie w Mieście,4
Akcja w Akcji,3
Mroczny Krzyk,1
Romans pod Gwiazdami,2
Podróż w Czasie,7
Komedie na Wyspie,4
Zadanie Akcji,3
Upiorny Krzyk,1
Miłość w Paryżu,2
Eksploracja Kosmiczna,7
Komedie na Plaży,4
Ostatnia Misja,3
Noc Strachu 2,1
Romans w Rzymie,2
Inwazja Kosmitów,7
Szalone Wakacje,4
Zadanie Ostateczne,3
Krzyk Nocy 2,1
Miłość w Wenecji 2,2
Ostatnia Bitwa,7
Komedie w Las Vegas,4
Akcja w Akcji 2,3
Nocny Krzyk 2,1
Romans w Paryżu 2,2
Ostateczna Konfrontacja,7
Komedie na Plaży 2,4
Sekret Agencji,3
Ciemna Noc,1
Miłość w Nowym Jorku 2,2
Kosmiczne Zagrożenie,7
